up_events,ip,down_events,key
"1474015662253,1474015662309,1474015662477,1474015662629,1474015662821,1474015662997,1474015663077,1474015663269",115.99.248.170,"1474015662149,1474015662229,1474015662397,1474015662549,1474015662725,1474015662893,1474015662973,1474015663165",4738998194929664
"1474044870692,1474044870940,1474044871171,1474044871356,1474044871580,1474044871979,1474044872123,1474044872363",128.118.134.6,"1474044870604,1474044870844,1474044871115,1474044871283,1474044871508,1474044871875,1474044872043,1474044872284",4747406130282496
"1474036974269,1474036974483,1474036974654,1474036974834,1474036975215,1474036975303,1474036975468,1474036975691",103.252.25.153,"1474036974149,1474036974316,1474036974561,1474036974748,1474036975052,1474036975184,1474036975318,1474036975483",4754244791959552
"1474058120441,1474058120575,1474058120742,1474058120879,1474058121071,1474058121160,1474058121279,1474058121480",24.159.209.250,"1474058120335,1474058120488,1474058120664,1474058120800,1474058120960,1474058121079,1474058121177,1474058121376",4775657888284672
"1474036971273,1474036971451,1474036971649,1474036971788,1474036972284,1474036972940,1474036973283,1474036973563",103.252.25.153,"1474036971138,1474036971305,1474036971529,1474036971695,1474036972121,1474036972865,1474036973096,1474036973363",4783853222756352
"1474022533321,1474022533556,1474022533791,1474022534007,1474022534472,1474022534743,1474022534904,1474022535344",74.75.23.113,"1474022533225,1474022533443,1474022533694,1474022533895,1474022534347,1474022534659,1474022534779,1474022535238",4785074604081152
"1474067031353,1474067031549,1474067031828,1474067031976,1474067032176,1474067032731,1474067032939,1474067033178",65.24.240.144,"1474067031280,1474067031405,1474067031720,1474067031905,1474067032071,1474067032623,1474067032830,1474067033072",4791893401534464
"1474058122696,1474058122832,1474058122992,1474058123144,1474058123344,1474058123464,1474058123752,1474058123943",24.159.209.250,"1474058122608,1474058122736,1474058122904,1474058123048,1474058123232,1474058123368,1474058123647,1474058123856",4820696525963264
"1474022524148,1474022524301,1474022524483,1474022524668,1474022525022,1474022525158,1474022525389,1474022525834",74.75.23.113,"1474022524014,1474022524190,1474022524403,1474022524577,1474022524905,1474022525087,1474022525284,1474022525732",4824175986343936
"1474015658949,1474015659013,1474015659181,1474015659341,1474015659548,1474015659653,1474015659821,1474015660045",115.99.248.170,"1474015658856,1474015658973,1474015659125,1474015659262,1474015659453,1474015659573,1474015659718,1474015659925",4831648155697152
"1474015676069,1474015676213,1474015676421,1474015676597,1474015676797,1474015677253,1474015677373,1474015677597",115.99.248.170,"1474015675950,1474015676134,1474015676341,1474015676501,1474015676717,1474015677149,1474015677269,1474015677501",4860816083910656
"1474003267606,1474003267671,1474003267815,1474003267964,1474003268152,1474003268208,1474003268337,1474003268582",103.210.204.3,"1474003267513,1474003267591,1474003267757,1474003267888,1474003268047,1474003268140,1474003268244,1474003268442",4875722304782336
"1474015682892,1474015683084,1474015683348,1474015683508,1474015683740,1474015683957,1474015684052,1474015684268",115.99.248.170,"1474015682772,1474015683004,1474015683244,1474015683428,1474015683620,1474015683836,1474015683932,1474015684164",4894982280314880
"1474032447133,1474032447261,1474032447308,1474032447492,1474032447844,1474032447852,1474032447884,1474032448100",173.2.225.234,"1474032446885,1474032447036,1474032447180,1474032447356,1474032447588,1474032447708,1474032447757,1474032447988",4896606314823680
"1474047654046,1474047654213,1474047654385,1474047654566,1474047654792,1474047654877,1474047654975,1474047655183",173.19.149.111,"1474047653946,1474047654046,1474047654244,1474047654448,1474047654645,1474047654744,1474047654862,1474047655059",4916395376640000
"1474042942156,1474042942348,1474042942420,1474042942596,1474042942804,1474042942908,1474042943020,1474042943212",64.245.199.146,"1474042942044,1474042942156,1474042942324,1474042942532,1474042942708,1474042942860,1474042942948,1474042943116",4930785127694336
"1474044875332,1474044875636,1474044875964,1474044876172,1474044876412,1474044876652,1474044876900,1474044877124",128.118.134.6,"1474044875244,1474044875532,1474044875892,1474044876100,1474044876332,1474044876580,1474044876820,1474044877028",4940719118614528
"1474042946612,1474042946779,1474042946843,1474042947019,1474042947459,1474042947939,1474042948076,1474042948284",64.245.199.146,"1474042946548,1474042946659,1474042946740,1474042946947,1474042947387,1474042947868,1474042947996,1474042948205",4945362783567872
"1474067027868,1474067028203,1474067028423,1474067028587,1474067028878,1474067029385,1474067029557,1474067029856",65.24.240.144,"1474067027799,1474067028096,1474067028353,1474067028517,1474067028771,1474067029313,1474067029451,1474067029747",4945704233467904
"1474047660919,1474047661062,1474047661206,1474047661390,1474047661593,1474047661682,1474047661749,1474047661941",173.19.149.111,"1474047660816,1474047660912,1474047661042,1474047661272,1474047661452,1474047661569,1474047661645,1474047661819",4955626144792576
"1474082763078,1474082763327,1474082763565,1474082763770,1474082764828,1474082765452,1474082765880,1474082766234",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082762954,1474082763145,1474082763460,1474082763629,1474082764675,1474082765292,1474082765733,1474082766055",4972385644052480
"1474044856405,1474044856628,1474044856900,1474044857092,1474044857732,1474044857932,1474044858084,1474044858308",128.118.134.6,"1474044856317,1474044856524,1474044856836,1474044857028,1474044857668,1474044857860,1474044857988,1474044858236",4978930100469760
"1474015672853,1474015673422,1474015673717,1474015673861,1474015674093,1474015674293,1474015674373,1474015674565",115.99.248.170,"1474015672738,1474015673317,1474015673653,1474015673805,1474015673973,1474015674173,1474015674277,1474015674469",4996618386407424
"1474082825157,1474082825317,1474082825502,1474082825637,1474082825813,1474082825917,1474082826021,1474082826181",99.9.191.4,"1474082825077,1474082825237,1474082825437,1474082825573,1474082825757,1474082825869,1474082825965,1474082826125",5001553572265984
"1474067056005,1474067056181,1474067056400,1474067056568,1474067056804,1474067056980,1474067057199,1474067057387",65.24.240.144,"1474067055896,1474067056075,1474067056329,1474067056496,1474067056697,1474067056872,1474067057094,1474067057318",5004014856962048
"1474042932028,1474042932260,1474042932348,1474042932516,1474042932708,1474042932796,1474042932884,1474042933084",64.245.199.146,"1474042931948,1474042932092,1474042932261,1474042932436,1474042932612,1474042932732,1474042932820,1474042932996",5010475561517056
"1474057253634,1474057253825,1474057253993,1474057254170,1474057254409,1474057254546,1474057254690,1474057254922",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057253530,1474057253682,1474057253905,1474057254090,1474057254273,1474057254426,1474057254586,1474057254826",5012311660036096
"1474042951764,1474042951932,1474042951988,1474042952172,1474042952396,1474042952492,1474042952628,1474042952948",64.245.199.146,"1474042951628,1474042951764,1474042951893,1474042952084,1474042952284,1474042952420,1474042952556,1474042952852",5018959195668480
"1474042944508,1474042944676,1474042944748,1474042944932,1474042945468,1474042945580,1474042945676,1474042945868",64.245.199.146,"1474042944420,1474042944556,1474042944652,1474042944860,1474042945380,1474042945508,1474042945604,1474042945804",5020473171640320
"1474080210931,1474080211110,1474080211303,1474080211487,1474080211970,1474080212336,1474080212455,1474080212657",173.63.184.135,"1474080210838,1474080211025,1474080211235,1474080211416,1474080211888,1474080212236,1474080212399,1474080212596",5028881106993152
