up_events,ip,down_events,key
"1474032435634,1474032435668,1474032436060,1474032436260,1474032436660,1474032436668,1474032436716,1474032437068",173.2.225.234,"1474032435288,1474032435635,1474032435964,1474032436132,1474032436372,1474032436476,1474032436589,1474032436916",5789787713699840
"1474044884244,1474044884524,1474044884780,1474044884972,1474044885196,1474044885428,1474044885628,1474044885852",128.118.134.6,"1474044884148,1474044884420,1474044884707,1474044884900,1474044885116,1474044885347,1474044885548,1474044885771",5790129163599872
"1474036994316,1474036994496,1474036994666,1474036994817,1474036995132,1474036995297,1474036995545,1474036995852",103.252.25.153,"1474036994197,1474036994366,1474036994574,1474036994728,1474036994957,1474036995164,1474036995382,1474036995670",5800051074924544
"1474036999446,1474036999649,1474036999831,1474037000015,1474037000384,1474037000730,1474037001027,1474037001309",103.252.25.153,"1474036999315,1474036999477,1474036999742,1474036999920,1474037000242,1474037000609,1474037000870,1474037001137",5804986260783104
"1474037007192,1474037007398,1474037007763,1474037007945,1474037008258,1474037008476,1474037008792,1474037009057",103.252.25.153,"1474037007027,1474037007254,1474037007657,1474037007845,1474037008085,1474037008336,1474037008648,1474037008886",5813486806368256
"1474048908046,1474048908238,1474048908358,1474048908518,1474048908838,1474048908982,1474048909286,1474048909590",162.198.166.54,"1474048907950,1474048908086,1474048908230,1474048908406,1474048908630,1474048908758,1474048909190,1474048909438",5816810574184448
"1474035658059,1474035658259,1474035658500,1474035658715,1474035658939,1474035659155,1474035659307,1474035659587",69.15.253.50,"1474035657939,1474035658116,1474035658404,1474035658595,1474035658811,1474035659019,1474035659179,1474035659419",5823355030601728
"1474058108344,1474058108487,1474058108672,1474058108823,1474058109008,1474058109168,1474058109416,1474058109620",24.159.209.250,"1474058108256,1474058108386,1474058108591,1474058108728,1474058108904,1474058109072,1474058109304,1474058109528",5833199632515072
"1474036953648,1474036953854,1474036954076,1474036954244,1474036954639,1474036954857,1474036955003,1474036955339",103.252.25.153,"1474036953504,1474036953726,1474036953979,1474036954170,1474036954510,1474036954733,1474036954811,1474036955191",5845978502397952
"1474032441748,1474032441996,1474032442252,1474032442676,1474032443108,1474032443116,1474032443188,1474032443508",173.2.225.234,"1474032441484,1474032441756,1474032442132,1474032442525,1474032442820,1474032442916,1474032443044,1474032443373",5848439787094016
"1474029817138,1474029817313,1474029817514,1474029817698,1474029817906,1474029817986,1474029818121,1474029818354",199.90.35.12,"1474029817058,1474029817234,1474029817434,1474029817602,1474029817802,1474029817906,1474029818025,1474029818281",5854900491649024
"1474029809530,1474029809722,1474029809914,1474029810474,1474029810706,1474029810938,1474029811026,1474029811266",199.90.35.12,"1474029809458,1474029809642,1474029809866,1474029810354,1474029810618,1474029810770,1474029810938,1474029811186",5856736590168064
"1474044908223,1474044908591,1474044909015,1474044909271,1474044909583,1474044909871,1474044910087,1474044910343",128.118.134.6,"1474044908143,1474044908495,1474044908935,1474044909183,1474044909495,1474044909775,1474044910007,1474044910271",5860884723269632
"1474036951258,1474036951505,1474036951697,1474036951854,1474036952271,1474036952423,1474036952857,1474036953083",103.252.25.153,"1474036951121,1474036951336,1474036951599,1474036951775,1474036952120,1474036952389,1474036952726,1474036952919",5863384125800448
"1474035649655,1474035649927,1474035650119,1474035650319,1474035650559,1474035650751,1474035650903,1474035651143",69.15.253.50,"1474035649543,1474035649775,1474035650023,1474035650207,1474035650431,1474035650631,1474035650799,1474035650975",5864898101772288
"1474047696067,1474047696153,1474047696263,1474047696437,1474047696630,1474047696711,1474047696778,1474047696938",173.19.149.111,"1474047695956,1474047696024,1474047696153,1474047696322,1474047696506,1474047696590,1474047696674,1474047696822",5873306037125120
"1474037004179,1474037004377,1474037004561,1474037004746,1474037005359,1474037005562,1474037006018,1474037006476",103.252.25.153,"1474037004061,1474037004226,1474037004440,1474037004635,1474037005207,1474037005437,1474037005877,1474037006322",5880144698802176
"1474082790310,1474082790558,1474082790736,1474082790939,1474082791286,1474082791525,1474082791744,1474082792020",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082790142,1474082790404,1474082790651,1474082790803,1474082791156,1474082791380,1474082791588,1474082791861",5901557795127296
"1474037021090,1474037021274,1474037021492,1474037021645,1474037021986,1474037022209,1474037022547,1474037022854",103.252.25.153,"1474037020946,1474037021137,1474037021384,1474037021570,1474037021859,1474037022095,1474037022362,1474037022649",5909753129598976
"1474032294665,1474032294822,1474032295090,1474032295265,1474032295508,1474032295641,1474032295761,1474032295992",73.81.159.210,"1474032294593,1474032294748,1474032295009,1474032295199,1474032295438,1474032295555,1474032295703,1474032295918",5910974510923776
"1474022528364,1474022528659,1474022528934,1474022529180,1474022529633,1474022529898,1474022530203,1474022530607",74.75.23.113,"1474022528282,1474022528551,1474022528839,1474022529066,1474022529527,1474022529842,1474022530105,1474022530511",5913461028552704
"1474082787338,1474082787624,1474082787816,1474082788018,1474082788440,1474082788744,1474082788922,1474082789190",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082787189,1474082787475,1474082787724,1474082787874,1474082788291,1474082788573,1474082788792,1474082789036",5917793308377088
"1474037001905,1474037002117,1474037002316,1474037002544,1474037002909,1474037003063,1474037003343,1474037003760",103.252.25.153,"1474037001781,1474037001967,1474037002226,1474037002410,1474037002747,1474037002925,1474037003202,1474037003578",5920920581439488
"1474044880540,1474044880788,1474044881044,1474044881220,1474044881468,1474044881868,1474044882100,1474044882356",128.118.134.6,"1474044880452,1474044880700,1474044880988,1474044881156,1474044881380,1474044881796,1474044882012,1474044882276",5924029064019968
"1474029789130,1474029789274,1474029789667,1474029789890,1474029790394,1474029790570,1474029790634,1474029791026",199.90.35.12,"1474029789026,1474029789202,1474029789554,1474029789786,1474029790306,1474029790458,1474029790554,1474029790922",5935788952911872
"1474003237266,1474003237354,1474003237462,1474003237624,1474003237892,1474003237919,1474003238057,1474003238274",103.210.204.3,"1474003237153,1474003237205,1474003237405,1474003237519,1474003237760,1474003237812,1474003237982,1474003238168",5945723749138432
"1474082799982,1474082800324,1474082800687,1474082800934,1474082801739,1474082801965,1474082802135,1474082802432",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082799856,1474082800132,1474082800563,1474082800734,1474082801575,1474082801774,1474082801965,1474082802240",5946596432805888
"1474057231074,1474057231314,1474057231826,1474057232090,1474057232402,1474057232754,1474057232882,1474057233122",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057230938,1474057231138,1474057231722,1474057231914,1474057232306,1474057232562,1474057232746,1474057232978",5950075893186560
"1474022541904,1474022542115,1474022542337,1474022542544,1474022542980,1474022543224,1474022543390,1474022543729",74.75.23.113,"1474022541805,1474022542004,1474022542241,1474022542428,1474022542860,1474022543154,1474022543299,1474022543635",5957548062539776
"1474022514515,1474022514727,1474022515003,1474022515214,1474022515625,1474022515845,1474022516034,1474022516378",74.75.23.113,"1474022514412,1474022514635,1474022514898,1474022515103,1474022515513,1474022515735,1474022515920,1474022516257",5986715990753280
"1474032312178,1474032312479,1474032312736,1474032312914,1474032313158,1474032313375,1474032313573,1474032313765",73.81.159.210,"1474032312095,1474032312396,1474032312663,1474032312846,1474032313086,1474032313299,1474032313485,1474032313698",6001622211624960
"1474015694548,1474015694652,1474015694836,1474015695020,1474015695228,1474015695388,1474015695444,1474015695652",115.99.248.170,"1474015694452,1474015694572,1474015694756,1474015694924,1474015695108,1474015695308,1474015695365,1474015695548",6020882187157504
"1474048910182,1474048910374,1474048910598,1474048910998,1474048911310,1474048911398,1474048911534,1474048911798",162.198.166.54,"1474048910086,1474048910214,1474048910374,1474048910885,1474048911142,1474048911254,1474048911446,1474048911646",6022506221666304
"1474047664017,1474047664179,1474047664327,1474047664503,1474047664706,1474047664809,1474047664883,1474047665072",173.19.149.111,"1474047663932,1474047664032,1474047664195,1474047664380,1474047664583,1474047664687,1474047664766,1474047664960",6042295283482624
"1474022537857,1474022538079,1474022538295,1474022538507,1474022538875,1474022539056,1474022539282,1474022539641",74.75.23.113,"1474022537752,1474022537984,1474022538202,1474022538402,1474022538767,1474022538966,1474022539170,1474022539546",6050490617954304
"1474075591125,1474075591349,1474075591421,1474075591605,1474075591957,1474075592021,1474075592781,1474075593477",104.229.237.190,"1474075590997,1474075591181,1474075591301,1474075591485,1474075591749,1474075591900,1474075592638,1474075593277",6056685034536960
"1474047649741,1474047649956,1474047650048,1474047650239,1474047650502,1474047650563,1474047650660,1474047650857",173.19.149.111,"1474047649628,1474047649741,1474047649892,1474047650108,1474047650329,1474047650425,1474047650540,1474047650732",6066619025457152
"1474048912334,1474048912486,1474048912590,1474048912782,1474048913022,1474048913102,1474048913174,1474048913446",162.198.166.54,"1474048912246,1474048912350,1474048912486,1474048912662,1474048912870,1474048912950,1474048913086,1474048913294",6071262690410496
"1474067043758,1474067043894,1474067044178,1474067044370,1474067044561,1474067044992,1474067045169,1474067045412",65.24.240.144,"1474067043650,1474067043786,1474067044070,1474067044264,1474067044456,1474067044887,1474067045060,1474067045307",6071604140310528
"1474058061017,1474058061337,1474058061543,1474058061681,1474058061913,1474058062048,1474058062182,1474058062410",24.159.209.250,"1474058060922,1474058061226,1474058061449,1474058061585,1474058061818,1474058061953,1474058062089,1474058062297",6081526051635200
"1474080124456,1474080124671,1474080124887,1474080125039,1474080125279,1474080125447,1474080125575,1474080125783",173.63.184.135,"1474080124368,1474080124559,1474080124823,1474080124982,1474080125198,1474080125374,1474080125511,1474080125719",6098285550895104
"1474047676564,1474047676748,1474047676837,1474047677043,1474047677199,1474047677674,1474047677839,1474047678043",173.19.149.111,"1474047676460,1474047676580,1474047676712,1474047676903,1474047677154,1474047677591,1474047677745,1474047677902",6104830007312384
"1474022519615,1474022519802,1474022520051,1474022520240,1474022520654,1474022520868,1474022521051,1474022521369",74.75.23.113,"1474022519525,1474022519711,1474022519946,1474022520144,1474022520546,1474022520777,1474022520959,1474022521269",6122518293250048
"1474047680971,1474047681134,1474047681273,1474047681476,1474047681696,1474047681794,1474047681850,1474047682024",173.19.149.111,"1474047680847,1474047680987,1474047681150,1474047681335,1474047681554,1474047681682,1474047681760,1474047681922",6136375468359680
"1474067046850,1474067047033,1474067047282,1474067047493,1474067047725,1474067048092,1474067048252,1474067048556",65.24.240.144,"1474067046741,1474067046926,1474067047209,1474067047386,1474067047616,1474067047987,1474067048180,1474067048448",6138211566878720
"1474082755123,1474082755453,1474082755659,1474082755903,1474082756525,1474082756819,1474082757168,1474082757455",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082754939,1474082755286,1474082755542,1474082755728,1474082756389,1474082756663,1474082757029,1474082757296",6144859102511104
"1474044887686,1474044887966,1474044888270,1474044888470,1474044888687,1474044889070,1474044889310,1474044889534",128.118.134.6,"1474044887591,1474044887870,1474044888206,1474044888398,1474044888606,1474044888982,1474044889238,1474044889462",6146373078482944
"1474067034535,1474067034692,1474067034975,1474067035146,1474067035361,1474067035909,1474067036124,1474067036388",65.24.240.144,"1474067034465,1474067034583,1474067034867,1474067035039,1474067035254,1474067035803,1474067036052,1474067036282",6191228106309632
"1474057256514,1474057256714,1474057256873,1474057257066,1474057257290,1474057257474,1474057257609,1474057257866",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057256418,1474057256578,1474057256794,1474057256986,1474057257178,1474057257362,1474057257498,1474057257746",6228071409516544
"1474003247373,1474003247456,1474003247575,1474003247746,1474003247988,1474003248009,1474003248210,1474003248424",103.210.204.3,"1474003247267,1474003247363,1474003247527,1474003247646,1474003247857,1474003247943,1474003248119,1474003248319",6231550869897216
"1474032287696,1474032288274,1474032288916,1474032289116,1474032289554,1474032289726,1474032289907,1474032290134",73.81.159.210,"1474032287592,1474032288209,1474032288842,1474032289041,1474032289475,1474032289648,1474032289820,1474032290063",6303981198376960
"1474035683908,1474035684108,1474035684332,1474035684548,1474035684780,1474035684924,1474035685060,1474035685292",69.15.253.50,"1474035683780,1474035683948,1474035684228,1474035684420,1474035684636,1474035684804,1474035684932,1474035685140",6323770260193280
"1474082815495,1474082815655,1474082815823,1474082815959,1474082816143,1474082816303,1474082816415,1474082816591",99.9.191.4,"1474082815431,1474082815575,1474082815775,1474082815895,1474082816087,1474082816266,1474082816351,1474082816527",6333186975989760
"1474035646038,1474035646246,1474035646454,1474035646646,1474035646886,1474035647070,1474035647230,1474035647478",69.15.253.50,"1474035645894,1474035646094,1474035646366,1474035646542,1474035646742,1474035646934,1474035647110,1474035647326",6338160011247616
"1474082800586,1474082800762,1474082800962,1474082801124,1474082801298,1474082801394,1474082801506,1474082801674",99.9.191.4,"1474082800522,1474082800706,1474082800906,1474082801026,1474082801226,1474082801330,1474082801450,1474082801610",6343133046505472
"1474032323180,1474032323445,1474032323662,1474032323814,1474032324048,1474032324241,1474032324431,1474032325093",73.81.159.210,"1474032323105,1474032323367,1474032323601,1474032323740,1474032323985,1474032324182,1474032324366,1474032325039",6348094002167808
"1474036948525,1474036948791,1474036948998,1474036949178,1474036949476,1474036949663,1474036949822,1474036950111",103.252.25.153,"1474036948415,1474036948635,1474036948900,1474036949076,1474036949319,1474036949554,1474036949679,1474036949997",6352737667121152
"1474058118041,1474058118177,1474058118344,1474058118496,1474058118696,1474058118815,1474058118927,1474058119106",24.159.209.250,"1474058117944,1474058118090,1474058118264,1474058118408,1474058118585,1474058118717,1474058118815,1474058119015",6353079117021184
"1474044864916,1474044867236,1474044868124,1474044868308,1474044868588,1474044868812,1474044868988,1474044869204",128.118.134.6,"1474044864828,1474044867100,1474044868052,1474044868252,1474044868516,1474044868732,1474044868884,1474044869124",6363001028345856
"1474080203071,1474080203271,1474080203472,1474080203642,1474080203891,1474080204174,1474080204344,1474080204529",173.63.184.135,"1474080202988,1474080203180,1474080203396,1474080203566,1474080203813,1474080204060,1474080204283,1474080204469",6367936214204416
"1474058113184,1474058113328,1474058113496,1474058113640,1474058113831,1474058113959,1474058114080,1474058114272",24.159.209.250,"1474058113072,1474058113216,1474058113408,1474058113552,1474058113719,1474058113856,1474058113976,1474058114192",6379760527605760
"1474042929764,1474042929891,1474042929948,1474042930116,1474042930316,1474042930404,1474042930508,1474042930741",64.245.199.146,"1474042929676,1474042929764,1474042929884,1474042930052,1474042930236,1474042930356,1474042930443,1474042930645",6386304984023040
"1474003255816,1474003255924,1474003256272,1474003256993,1474003257399,1474003257470,1474003257669,1474003257898",103.210.204.3,"1474003255702,1474003255810,1474003256158,1474003256854,1474003257308,1474003257394,1474003257590,1474003257802",6403993269960704
"1474082783940,1474082784122,1474082784333,1474082784539,1474082784927,1474082785117,1474082785331,1474082785596",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082783800,1474082783965,1474082784242,1474082784399,1474082784779,1474082784993,1474082785175,1474082785422",6408928455819264
"1474036964898,1474036965133,1474036965306,1474036965508,1474036965852,1474036965979,1474036966091,1474036967115",103.252.25.153,"1474036964765,1474036964958,1474036965211,1474036965399,1474036965679,1474036965902,1474036965995,1474036966952",6411389740515328
"1474037014088,1474037014336,1474037014695,1474037015143,1474037015493,1474037015744,1474037016117,1474037016373",103.252.25.153,"1474037013905,1474037014228,1474037014601,1474037015023,1474037015374,1474037015632,1474037015999,1474037016211",6417850445070336
"1474044903662,1474044904006,1474044904510,1474044904790,1474044905142,1474044905430,1474044905710,1474044906086",128.118.134.6,"1474044903559,1474044903895,1474044904431,1474044904710,1474044905070,1474044905342,1474044905638,1474044906014",6419686543589376
"1474037035051,1474037035234,1474037035424,1474037035599,1474037035987,1474037036232,1474037036437,1474037036742",103.252.25.153,"1474037034893,1474037035067,1474037035330,1474037035496,1474037035833,1474037036049,1474037036263,1474037036437",6426334079221760
"1474042925628,1474042925724,1474042925788,1474042925964,1474042926180,1474042926276,1474042926356,1474042926604",64.245.199.146,"1474042925540,1474042925628,1474042925724,1474042925900,1474042926068,1474042926180,1474042926276,1474042926500",6427848055193600
"1474057248089,1474057248298,1474057248466,1474057248658,1474057248882,1474057249001,1474057249137,1474057249418",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057247994,1474057248145,1474057248378,1474057248553,1474057248754,1474057248873,1474057249025,1474057249298",6436255990546432
"1474057245370,1474057245577,1474057245738,1474057245946,1474057246186,1474057246354,1474057246465,1474057246729",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057245258,1474057245394,1474057245634,1474057245825,1474057246042,1474057246178,1474057246346,1474057246602",6443094652223488
"1474048903375,1474048903559,1474048903638,1474048903815,1474048904135,1474048904135,1474048904279,1474048904655",162.198.166.54,"1474048903255,1474048903375,1474048903559,1474048903694,1474048903902,1474048903983,1474048904135,1474048904527",6472703083020288
"1474035661875,1474035662091,1474035662307,1474035662507,1474035662747,1474035662915,1474035663099,1474035663347",69.15.253.50,"1474035661747,1474035661939,1474035662203,1474035662387,1474035662611,1474035662803,1474035662987,1474035663195",6473924464345088
"1474037011845,1474037012026,1474037012211,1474037012379,1474037012679,1474037012926,1474037013225,1474037013504",103.252.25.153,"1474037011720,1474037011890,1474037012104,1474037012291,1474037012535,1474037012804,1474037013082,1474037013303",6476410981974016
"1474015680892,1474015681092,1474015681308,1474015681484,1474015681676,1474015681908,1474015682012,1474015682220",115.99.248.170,"1474015680748,1474015680988,1474015681233,1474015681380,1474015681580,1474015681812,1474015681932,1474015682117",6478897499602944
"1474057223330,1474057223546,1474057224402,1474057224650,1474057224946,1474057225290,1474057225442,1474057225706",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057223194,1474057223371,1474057224298,1474057224498,1474057224818,1474057225098,1474057225314,1474057225569",6483870534860800
"1474057259322,1474057259498,1474057259666,1474057259825,1474057260057,1474057260449,1474057260545,1474057260777",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057259233,1474057259362,1474057259570,1474057259745,1474057259945,1474057260321,1474057260458,1474057260706",6486979017441280
"1474022546009,1474022546248,1474022546466,1474022546678,1474022547077,1474022547334,1474022547501,1474022547854",74.75.23.113,"1474022545917,1474022546127,1474022546362,1474022546551,1474022546964,1474022547241,1474022547413,1474022547761",6493475155476480
"1474029813394,1474029813586,1474029813802,1474029814017,1474029814242,1474029814394,1474029814482,1474029814738",199.90.35.12,"1474029813314,1474029813498,1474029813714,1474029813898,1474029814146,1474029814266,1474029814394,1474029814658",6493816605376512
"1474036962921,1474036963119,1474036963306,1474036963489,1474036963771,1474036963933,1474036964086,1474036964238",103.252.25.153,"1474036962769,1474036962952,1474036963197,1474036963368,1474036963616,1474036963817,1474036963933,1474036964101",6498738906333184
"1474032458469,1474032458621,1474032458668,1474032458836,1474032459133,1474032459229,1474032459252,1474032459453",173.2.225.234,"1474032458254,1474032458365,1474032458533,1474032458724,1474032458973,1474032459093,1474032459156,1474032459357",6503738516701184
"1474029798306,1474029798482,1474029798882,1474029799122,1474029799490,1474029799666,1474029799770,1474029800026",199.90.35.12,"1474029798234,1474029798410,1474029798786,1474029799010,1474029799388,1474029799554,1474029799690,1474029799938",6508673702559744
"1474015678509,1474015678997,1474015679213,1474015679381,1474015679581,1474015679829,1474015679949,1474015680133",115.99.248.170,"1474015678445,1474015678917,1474015679133,1474015679294,1474015679485,1474015679709,1474015679870,1474015680053",6517174248144896
"1474042940388,1474042940636,1474042940660,1474042940852,1474042941062,1474042941188,1474042941300,1474042941484",64.245.199.146,"1474042940308,1474042940492,1474042940588,1474042940780,1474042940964,1474042941116,1474042941260,1474042941420",6520498015961088
"1474042938124,1474042938252,1474042938308,1474042938468,1474042938668,1474042938764,1474042938884,1474042939092",64.245.199.146,"1474042938045,1474042938140,1474042938228,1474042938420,1474042938572,1474042938692,1474042938804,1474042938988",6536887074291712
"1474032302249,1474032302473,1474032302698,1474032302870,1474032303089,1474032303274,1474032303448,1474032303641",73.81.159.210,"1474032302168,1474032302402,1474032302630,1474032302792,1474032303012,1474032303198,1474032303369,1474032303573",6549665944174592
"1474003265371,1474003265464,1474003265590,1474003265737,1474003265942,1474003265985,1474003266141,1474003266360",103.210.204.3,"1474003265301,1474003265364,1474003265528,1474003265659,1474003265840,1474003265909,1474003266048,1474003266255",6558587933425664
"1474029794498,1474029794674,1474029794866,1474029795042,1474029795242,1474029795354,1474029795450,1474029795770",199.90.35.12,"1474029794426,1474029794586,1474029794794,1474029794962,1474029795154,1474029795242,1474029795354,1474029795682",6560424031944704
"1474037009576,1474037009792,1474037010011,1474037010180,1474037010508,1474037010693,1474037011148,1474037011374",103.252.25.153,"1474037009428,1474037009644,1474037009905,1474037010089,1474037010352,1474037010555,1474037010993,1474037011213",6564572165046272
"1474032315467,1474032315702,1474032315927,1474032316108,1474032316506,1474032316687,1474032316860,1474032317111",73.81.159.210,"1474032315390,1474032315623,1474032315867,1474032316036,1474032316436,1474032316615,1474032316780,1474032317048",6567071567577088
"1474036960740,1474036960954,1474036961123,1474036961307,1474036961616,1474036961791,1474036961996,1474036962076",103.252.25.153,"1474036960621,1474036960787,1474036961032,1474036961201,1474036961463,1474036961695,1474036961791,1474036962028",6576993478901760
"1474036944024,1474036944309,1474036944512,1474036944677,1474036944959,1474036945143,1474036945309,1474036945673",103.252.25.153,"1474036943885,1474036944165,1474036944398,1474036944575,1474036944802,1474036945038,1474036945159,1474036945508",6583832140578816
"1474082758986,1474082759210,1474082759418,1474082759562,1474082759754,1474082759867,1474082759977,1474082760201",99.9.191.4,"1474082758914,1474082759154,1474082759370,1474082759498,1474082759698,1474082759809,1474082759921,1474082760145",6585456175087616
"1474058102968,1474058103120,1474058103280,1474058103438,1474058103624,1474058103743,1474058103832,1474058104020",24.159.209.250,"1474058102864,1474058103016,1474058103200,1474058103347,1474058103520,1474058103640,1474058103736,1474058103951",6605245236903936
"1474032470638,1474032470765,1474032470789,1474032470997,1474032471365,1474032471437,1474032471453,1474032471621",173.2.225.234,"1474032470397,1474032470509,1474032470685,1474032470853,1474032471141,1474032471301,1474032471317,1474032471525",6613440571375616
"1474058099864,1474058100008,1474058100184,1474058100320,1474058100496,1474058100636,1474058100768,1474058100944",24.159.209.250,"1474058099768,1474058099912,1474058100104,1474058100232,1474058100400,1474058100528,1474058100664,1474058100852",6629568978878464
"1474080155085,1474080155269,1474080155404,1474080155539,1474080155721,1474080155886,1474080156010,1474080156206",173.63.184.135,"1474080154986,1474080155179,1474080155347,1474080155466,1474080155648,1474080155799,1474080155949,1474080156135",6634212643831808
"1474057250689,1474057250889,1474057251066,1474057251250,1474057251490,1474057251634,1474057251754,1474057251978",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057250602,1474057250770,1474057250986,1474057251154,1474057251346,1474057251482,1474057251634,1474057251858",6667779960733696
"1474035628302,1474035628494,1474035628671,1474035628870,1474035629070,1474035629254,1474035629350,1474035629582",69.15.253.50,"1474035628191,1474035628342,1474035628551,1474035628751,1474035628943,1474035629126,1474035629246,1474035629430",6685468246671360
"1474082746612,1474082746844,1474082747029,1474082747180,1474082747404,1474082747492,1474082747620,1474082747828",99.9.191.4,"1474082746549,1474082746748,1474082746964,1474082747116,1474082747332,1474082747428,1474082747556,1474082747764",6699325421780992
"1474082805417,1474082805601,1474082805769,1474082805905,1474082806089,1474082806281,1474082806385,1474082806569",99.9.191.4,"1474082805353,1474082805529,1474082805721,1474082805849,1474082806025,1474082806217,1474082806329,1474082806505",6701161520300032
"1474080206934,1474080207120,1474080207286,1474080207471,1474080207722,1474080208121,1474080208257,1474080208459",173.63.184.135,"1474080206837,1474080207028,1474080207229,1474080207396,1474080207659,1474080208028,1474080208184,1474080208398",6709323031904256
"1474067052958,1474067053178,1474067053473,1474067053628,1474067053876,1474067054096,1474067054320,1474067054547",65.24.240.144,"1474067052851,1474067053071,1474067053366,1474067053556,1474067053771,1474067053987,1474067054211,1474067054440",6754178059730944
